PHRASE,START,END
hello everybody welcome back thank you so much for joining me today we are doing a beginner style 15 minute full body cardio workout with no equipment so all you need today is yourself and a little bit of space around you the way that this workout is structured today is we are going to have three mini circuits within our 15 minute workout each of the exercises are going to be 30 seconds each and we're not going to be taking any rest at all during the next 15 minutes but i promise it's going to fly by you guys are really going to enjoy this one make sure that you can see your screen so you can follow along with me and without further ado let's get to ,0.06,40.97
all right guys we're starting off nice and simple just with a jog in ,45.05,49.489999
like ,50.09,50.73
you can bring those feet up to kick your ,51.849999,54.54
or you can just keep it nice and ,55.24,57.0
keep that core nice and ,59.76,61.16
and ,65.3,65.75
those arms moving all right next ,74.03999999999999,80.85000000000001
we're just gonna do some marches in place so bringing those knees up nice and high keeping that core nice and ,81.79,87.77000000000001
arms moving if you want to increase the intensity a little bit you can add a bit of a hope hear me all right next up feet nice and ,88.84,116.1
,116.78,117.22
opposite toe coming up for a job all right next up we're doing a jumping ,118.64,148.89999999999998
and then crunching bringing the ,150.35,152.32000000000002
elbow ,153.53,153.78
me out and in those arms nice and strong good all right next up four punches one two three ,172.739999,182.7
coming down into a squat position holding ,183.33,186.09
two three four up get nice and ,199.75,200.47
nice strong ,201.7,203.08
,209.04,209.28
right we're going to repeat that all again so jogging ,210.18,212.04
place that was circuit number one we're gonna repeat circuit number one ,213.23,218.04
and then we'll move into circuit number ,218.8,220.52
each ,223.18,223.76
our circuits are gonna start off with these three same exercises so our jogs our ,224.59,230.429999
and our toe touch with the jump all right five more seconds getting ready to go ontario jumping jacks out and might just ask crunchy to leave now with me good punches ,231.139999,340.659999
one two three four ,341.26,342.78
if you want to modify this a little ,352.53,354.199999
you can take it ,355.179999,356.22
and then just come slightly lower you don't have to go all the way to the full spot good going into circuit number two we're starting off with ,357.73,374.77
jogs marshes and toe touch so we're just switching up ,375.54,375.97
,383.6,383.77
two exercises in ,384.54,386.22
of the circuits keep those arms moving keep that core tight gotta get those ,392.29,394.14
up touch those toes down and out and if you want to modify this a little ,435.089999,441.249999
you can ride on those tippy toes instead of taking a full jump rise good all right we're doing a jumping ,441.799999,469.31
two jumping jacks coming down to center for a narrow ,470.14,474.11
,474.61,474.93
and up one two one all right we are ,476.26,494.839999
to the ground we're gonna do a push ,495.48,498.399999
on your ,499.71,500.339999
bring it up to a ,501.059999,502.139999
touch the toes back to center push up ,502.859999,507.9
tap the ,508.86,509.74
if you want to modify this you can stay ,511.34,512.459999
,513.309999,513.6199989999999
just tap the toes or just hold plank good all right that was circuit number two starting back again with our so jobs get those knees up keep those arms going keep that chest lifted core tight getting ready to touch our toes shoot those arms all the way up above your head good two jumping jacks keep that chest lifted as you do your spot getting ready to head to the ground here we go modified push up bring it up to plank booties ,514.1699989999998,663.399999
tap ,664.309999,664.83
toes is good bring it up for circuit number ,692.01,695.0799999999999
just keep ,698.679999,700.009999
keep those arms going um don't forget you can have a bit of a hop in here nice get ready to touch those toes don't forget you can modify this by doing a rise while you're jumping so good we're staying standing coming to one side reaching the diagonal bring that knee ,700.809999,790.519999
,791.619999,791.989999
,792.689999,793.179999
,794.02,794.28
feel it in your ,801.08,801.749999
exhale as you bring the knee ,803.82,805.199999
good we're doing some reverse lunges you're stepping ,817.279999,820.08
as you step back arms come ,820.849999,822.53
and back to ,823.16,824.04
,824.86,825.2
and center if you want to modify this ,825.9,827.3299989999999
you're stepping into a half lunge ,828.259999,830.87
kind ,832.27,832.4399999999999
,833.14,833.1999999999999
you can speed it ,834.06,834.86
like this good all right back at it ,850.34,853.29
jogging in ,854.29,855.39
try to control your ,867.809999,869.11
nice big inhales and big exhales all right guys last time push it good reach for those toes down and up okay last round give it all you got ten seconds good reach and dyingly three knees ,870.28,947.73
,966.199999,966.319999
knees up good lunge here we go down and up arms up knees not going over your ,982.5,990.17
sitting to that ,991.17,992.25
